INFO:p2p_network:[charlie] P2P Node initialized on 127.0.0.1:9003
INFO:full_node:[charlie] Blockchain initialized - Height: 0
INFO:full_node:[charlie] Restored 6 block(s) from disk - Height: 6
INFO:p2p_network:[charlie] P2P Server listening on 127.0.0.1:9003
INFO:__main__:Starting RPC server on 127.0.0.1:8003
INFO:wsgi_server:Serving with waitress on 127.0.0.1:8003 (threads=16)
INFO:waitress:Serving on http://127.0.0.1:8003
INFO:p2p_network:[charlie] Connected to peer: bob
INFO:p2p_network:[charlie] Connected to peer: alice at 127.0.0.1:9001
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 340
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 341
INFO:full_node:[charlie] Synced -> Height: 342
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 343
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 344
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 345
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 346
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 347
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 348
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 349
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 350
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 351
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 352
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 353
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 354
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 355
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 356
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 357
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 358
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 359
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 360
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 361
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 362
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 363
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 364
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 365
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 366
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 367
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 368
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 369
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 370
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 371
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 372
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 373
INFO:full_node:[charlie] Synced -> Height: 374
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 375
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 376
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 377
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 378
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 379
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 380
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 381
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 382
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 383
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 384
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 385
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 386
INFO:full_node:[charlie] Synced -> Height: 387
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 388
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 389
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 390
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 391
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 392
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 393
INFO:full_node:[charlie] Accepted peer block (extended) - Height: 394
